Hospital_ID,wk_defect_free,COUNT,PCT_ROW,DFC_PERCENT
69905,1,5,11.90476191,0.12
72828,1,4,18.18181818,0.18
75346,1,1,20,0.2
45054,1,14,22.95081967,0.23
77089,1,31,37.80487805,0.38
47874,1,4,57.14285714,0.57
51154,1,129,66.15384615,0.66
29944,1,92,74.19354839,0.74
37818,1,346,74.40860215,0.74
31167,1,130,74.71264368,0.75
65695,1,222,78.72340426,0.79
71305,1,46,79.31034483,0.79
43254,1,54,79.41176471,0.79
40934,1,69,83.13253012,0.83
13710,1,118,86.13138686,0.86
22282,1,173,86.93467337,0.87
31228,1,115,87.12121212,0.87
15563,1,178,87.68472906,0.88
25382,1,225,87.890625,0.88
13862,1,133,88.0794702,0.88
18185,1,222,88.0952381,0.88
37556,1,74,88.0952381,0.88
33568,1,200,88.10572687,0.88
10401,1,266,88.37209302,0.88
20889,1,76,89.41176471,0.89
14462,1,194,89.81481482,0.9
22865,1,337,90.59139785,0.91
57095,1,113,91.12903226,0.91
20908,1,245,91.41791045,0.91
34271,1,77,91.66666667,0.92
15823,1,24,92.30769231,0.92
37476,1,121,92.36641221,0.92
13782,1,402,92.4137931,0.92
13815,1,54,93.10344828,0.93
17962,1,513,93.10344828,0.93
65056,1,179,93.22916667,0.93
31190,1,208,93.2735426,0.93
15144,1,118,93.65079365,0.94
29984,1,334,93.82022472,0.94
10140,1,126,94.02985075,0.94
37896,1,464,94.30894309,0.94
47534,1,83,94.31818182,0.94
34227,1,150,94.33962264,0.94
14562,1,70,94.5945946,0.95
27785,1,170,94.97206704,0.95
37495,1,174,95.08196721,0.95
37474,1,20,95.23809524,0.95
37454,1,202,95.28301887,0.95
13742,1,81,95.29411765,0.95
10400,1,247,95.36679537,0.95
37496,1,67,95.71428571,0.96
13779,1,116,95.8677686,0.96
16462,1,672,96.13733906,0.96
37475,1,100,96.15384615,0.96
15322,1,177,96.19565217,0.96
13811,1,110,96.49122807,0.96
35507,1,402,96.63461539,0.97
37494,1,761,96.94267516,0.97
13705,1,66,97.05882353,0.97
37214,1,245,97.22222222,0.97
14942,1,394,97.28395062,0.97
33607,1,190,97.93814433,0.98
13732,1,240,97.95918367,0.98
31193,1,96,97.95918367,0.98
32647,1,208,98.11320755,0.98
13781,1,163,98.78787879,0.99
14842,1,172,98.85057471,0.99
10720,1,249,99.20318725,0.99
13819,1,369,99.46091644,0.99
57242,1,104,100,1.00
